STATE,CNTY,NAME,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
49,001,Beaver  County,3.4     ,3.9     ,4.7     ,5.2     ,4.5     ,4.1     ,3.0     ,2.5     ,3.5     ,6.1     ,9.9     ,8.0     ,6.1     ,4.7     
49,003,Box Elder County,3.7     ,4.6     ,5.6     ,5.5     ,5.0     ,4.3     ,3.2     ,2.7     ,4.0     ,8.1     ,8.5     ,7.5     ,5.8     ,4.7     
49,005,Cache County,2.8     ,3.4     ,4.2     ,3.9     ,3.6     ,3.2     ,2.3     ,2.0     ,2.8     ,5.5     ,6.1     ,5.3     ,4.5     ,4.0     
49,007,Carbon County,5.6     ,6.4     ,7.0     ,7.7     ,6.6     ,4.9     ,3.5     ,3.7     ,4.3     ,7.9     ,8.6     ,7.6     ,7.0     ,6.3     
49,009,Daggett County,3.9     ,4.9     ,4.9     ,5.4     ,5.4     ,5.2     ,4.7     ,3.5     ,4.0     ,5.8     ,7.3     ,6.2     ,5.0     ,4.9     
49,011,Davis County,3.1     ,4.1     ,5.0     ,5.1     ,4.7     ,3.9     ,2.9     ,2.5     ,3.4     ,6.6     ,7.0     ,6.0     ,4.9     ,4.3     
49,013,Duchesne County,4.9     ,5.3     ,6.7     ,6.7     ,5.6     ,4.3     ,2.8     ,2.2     ,2.7     ,8.5     ,9.6     ,6.7     ,4.7     ,4.3     
49,015,Emery County,4.8     ,6.7     ,7.1     ,8.0     ,6.8     ,5.1     ,3.5     ,3.4     ,3.8     ,7.1     ,7.3     ,7.3     ,7.2     ,6.1     
49,017,Garfield County,6.8     ,8.0     ,9.4     ,9.0     ,7.8     ,7.2     ,5.0     ,4.6     ,6.1     ,10.4     ,10.2     ,10.7     ,9.5     ,9.2     
49,019,Grand County,6.5     ,6.9     ,7.5     ,7.5     ,7.3     ,6.3     ,4.9     ,4.6     ,5.9     ,9.8     ,10.5     ,9.8     ,8.4     ,7.7     
49,021,Iron County,3.2     ,4.5     ,5.3     ,5.2     ,4.6     ,3.9     ,2.9     ,2.9     ,4.4     ,8.8     ,9.6     ,8.3     ,6.8     ,5.6     
49,023,Juab County,3.5     ,4.9     ,7.5     ,7.1     ,6.4     ,4.8     ,3.7     ,3.1     ,5.5     ,10.0     ,9.1     ,8.2     ,6.1     ,5.1     
49,025,Kane County,3.8     ,4.3     ,5.3     ,5.7     ,5.6     ,4.9     ,3.6     ,3.2     ,4.2     ,7.6     ,7.9     ,7.4     ,6.6     ,5.4     
49,027,Millard County,3.4     ,4.1     ,4.6     ,5.0     ,4.8     ,4.0     ,2.9     ,2.5     ,3.3     ,5.6     ,6.2     ,5.3     ,4.7     ,4.1     
49,029,Morgan County,3.4     ,3.9     ,5.4     ,5.2     ,4.8     ,4.2     ,3.0     ,2.6     ,3.3     ,6.3     ,6.9     ,5.7     ,4.9     ,4.1     
49,031,Piute County,4.5     ,5.8     ,6.3     ,5.5     ,4.4     ,4.0     ,3.0     ,2.3     ,2.9     ,6.6     ,10.1     ,10.0     ,8.3     ,7.8     
49,033,Rich County,3.0     ,3.2     ,4.1     ,4.0     ,3.4     ,3.1     ,2.3     ,2.0     ,2.7     ,5.1     ,7.2     ,7.2     ,5.3     ,4.7     
49,035,Salt Lake County,3.2     ,4.4     ,5.9     ,5.7     ,5.0     ,4.0     ,2.9     ,2.5     ,3.4     ,7.1     ,7.7     ,6.6     ,5.3     ,4.4     
49,037,San Juan County,8.0     ,8.4     ,8.6     ,9.1     ,9.2     ,7.9     ,6.1     ,5.2     ,6.4     ,11.8     ,10.9     ,10.0     ,8.8     ,8.0     
49,039,Sanpete County,4.4     ,5.4     ,6.6     ,6.8     ,6.2     ,5.3     ,3.8     ,3.1     ,4.2     ,8.4     ,9.0     ,7.9     ,6.4     ,5.6     
49,041,Sevier County,3.9     ,4.6     ,5.7     ,5.8     ,5.2     ,4.4     ,3.2     ,2.7     ,4.0     ,7.9     ,8.3     ,7.4     ,6.1     ,5.4     
49,043,Summit County,3.5     ,4.7     ,6.5     ,6.2     ,5.2     ,4.0     ,2.9     ,2.5     ,3.3     ,7.0     ,7.4     ,6.1     ,4.9     ,4.2     
49,045,Tooele County,3.7     ,4.8     ,6.3     ,6.3     ,5.5     ,4.4     ,3.3     ,2.8     ,3.8     ,7.9     ,8.3     ,7.1     ,6.0     ,5.4     
49,047,Uintah County,4.2     ,4.5     ,6.0     ,5.7     ,5.1     ,3.7     ,2.4     ,2.1     ,2.3     ,8.3     ,8.5     ,6.0     ,4.4     ,4.4     
49,049,Utah County,2.9     ,4.1     ,5.8     ,5.3     ,4.8     ,3.9     ,2.9     ,2.4     ,3.5     ,7.0     ,7.4     ,6.3     ,5.0     ,4.2     
49,051,Wasatch County,3.5     ,4.5     ,6.3     ,6.1     ,5.4     ,4.1     ,3.2     ,2.5     ,3.7     ,8.4     ,8.4     ,7.0     ,5.8     ,4.7     
49,053,Washington County,3.5     ,4.1     ,5.3     ,5.3     ,4.8     ,4.0     ,3.0     ,2.7     ,4.7     ,9.8     ,10.5     ,8.9     ,6.9     ,5.5     
49,055,Wayne County,4.6     ,5.1     ,6.4     ,6.9     ,6.6     ,5.4     ,4.3     ,4.1     ,5.5     ,8.1     ,8.6     ,10.1     ,10.8     ,10.9     
49,057,Weber County,4.2     ,5.2     ,6.2     ,6.4     ,5.5     ,4.6     ,3.4     ,3.1     ,4.2     ,8.4     ,8.8     ,7.8     ,6.3     ,5.4     
