TYPE,WDPAID,WDPA_PID,PA_DEF,NAME,ORIG_NAME,DESIG,DESIG_ENG,DESIG_TYPE,IUCN_CAT,INT_CRIT,MARINE,REP_M_AREA,GIS_M_AREA,REP_AREA,GIS_AREA,NO_TAKE,NO_TK_AREA,STATUS,STATUS_YR,GOV_TYPE,OWN_TYPE,MANG_AUTH,MANG_PLAN,VERIF,METADATAID,SUB_LOC,PARENT_ISO3,ISO3
Polygon,555542339,555542339,1,Kenya Lake System in the Great Rift Valley,Réseau des lacs du Kenya dans la vallée du Grand Rift,World Heritage Site,World Heritage Site,International,Not Applicable,(vii)(ix)(x),0,0,0,320.34,332.622423791747,Not Applicable,0,Inscribed,2011,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,946,KE-700,KEN,KEN
Polygon,145586,145586,1,Lake Turkana National Parks,Parcs nationaux du Lac Turkana,World Heritage Site,World Heritage Site,International,Not Applicable,(viii)(x),0,0,0,1614.85,1542.03289780582,Not Applicable,0,Inscribed,1997,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,946,KE-400,KEN,KEN
Polygon,145585,145585,1,Mount Kenya National Park/Natural Forest,Parc national/Forêt naturelle du mont Kenya,World Heritage Site,World Heritage Site,International,Not Applicable,(vii)(ix),0,0,0,2023.34,1984.79090460368,Not Applicable,0,Inscribed,1997,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,946,Not Reported,KEN,KEN
Polygon,7570,7570,1,Kamiti,Kamiti,Forest Reserve,Forest Reserve,National,Not Reported,Not Applicable,0,0,0,1.71,2.12353236801097,Not Applicable,0,Designated,1933,Not Reported,Not Reported,Not Reported,Not Reported,State Verified,178,KE-200,KEN,KEN
Polygon,7586,7586,1,Kenze,Kenze,Forest Reserve,Forest Reserve,National,Not Reported,Not Applicable,0,0,0,1.89,3.8536076774391,Not Applicable,0,Designated,1960,Not Reported,Not Reported,Not Reported,Not Reported,State Verified,178,KE-400,KEN,KEN
Polygon,7630,7630,1,Leshau,Leshau,Forest Reserve,Forest Reserve,National,Not Reported,Not Applicable,0,0,0,1.98,1.99868267176521,Not Applicable,0,Designated,1960,Not Reported,Not Reported,Not Reported,Not Reported,State Verified,178,KE-200,KEN,KEN
Polygon,555566888,555566888,1,Awer Community Conservancy,Awer Community Conservancy,Community Nature Reserve,Community Nature Reserve,National,Not Reported,Not Applicable,0,0,0,209,210.612002750981,Not Applicable,0,Not Reported,2010,Indigenous peoples,Not Reported,Community,Not Reported,Not Reported,1775,Not Reported,KEN,KEN
Polygon,555555520,555555520,1,Biliqo-Bulesa Community Conservancy,Biliqo-Bulesa Community Conservancy,Community Nature Reserve,Community Nature Reserve,National,Not Reported,Not Applicable,0,0,0,3784.823327,3804.18150789961,Not Applicable,0,Not Reported,2007,Indigenous peoples,Not Reported,Community,Not Reported,Not Reported,1775,Not Reported,KEN,KEN
Polygon,555566903,555566903,1,Leparua Community Conservancy,Leparua Community Conservancy,Community Nature Reserve,Community Nature Reserve,National,Not Reported,Not Applicable,0,0,0,328.352032,329.84527045489,Not Applicable,0,Not Reported,2011,Indigenous peoples,Not Reported,Community,Not Reported,Not Reported,1775,Not Reported,KEN,KEN
Polygon,555555507,555555507,1,Lower Tana Delta Conservation Trust,Lower Tana Delta Conservation Trust,Community Nature Reserve,Community Nature Reserve,National,Not Reported,Not Applicable,0,0,2.837806,512,520.016053205293,Not Applicable,0,Not Reported,2010,Indigenous peoples,Not Reported,Community,Not Reported,Not Reported,1775,Not Reported,KEN,KEN
Polygon,555555521,555555521,1,Hanshak-Nyongoro Community Conservancy,Hanshak-Nyongoro Community Conservancy,Community Nature Reserve,Community Nature Reserve,National,Not Reported,Not Applicable,0,0,0,792,787.596398895,Not Applicable,0,Not Reported,2010,Indigenous peoples,Not Reported,Community,Not Reported,Not Reported,1775,Not Reported,KEN,KEN
Polygon,555555504,555555504,1,Il Ngwesi Community Trust,Il Ngwesi Community Trust,Community Nature Reserve,Community Nature Reserve,National,Not Reported,Not Applicable,0,0,0,94.333227,94.7541817906658,Not Applicable,0,Not Reported,1995,Indigenous peoples,Not Reported,Community,Not Reported,Not Reported,1775,Not Reported,KEN,KEN
