address,city,country,state,name,lon,lat
Unit 305 Bear Street Mall,Banff,CAN,AB,Banff Brewing Company,-115.572782,51.178159
9929 - 60th Ave,Edmonton,CAN,AB,Alley Kat Brewing,-113.486695,53.495789
9926 - 78 Avenue SW,Edmonton,CAN,AB,Amber's Brewing,-113.486903,53.514223
9914 Morrison St,Fort McMurray,CAN,AB,Wood Buffalo Brewing Co,-111.384389,56.728662
730 17th Avenue SW,Calgary,CAN,AB,Trolley 5 Brew Co,-114.078611,51.037909
624 Connaught Dr,Jasper,CAN,AB,Jasper Brewing,-118.082205,52.874639
607 Eleventh Avenue SW,Calgary,CAN,AB,Last Best Brewing & Distilling,-114.074482,51.042695
607 - 11th Avenue SW,Calgary,CAN,AB,Brew Brothers Brewing,-114.074269,51.042693
5555 76th Avenue SE,Calgary,CAN,AB,Big Rock Brewery,-113.953083,50.985095
5519 53rd Street SE,Calgary,CAN,AB,Brewsters Brewing - Foothills,-113.956548,51.003652
5000 12A St SE,Calgary,CAN,AB,Village Brewery,-114.035326,51.009412
4924 51 St,Edgeton,CAN,AB,Ribstone Creek Brewery,-110.461604,52.75986
4500 50th St,Olds,CAN,AB,Olds College Teaching Brewery,-114.096355,51.790516
310 Old Canmore Road,Canmore,CAN,AB,Grizzly Paw Brewing,-115.344649,51.088393
25 Crowfoot Terrace NW,Calgary,CAN,AB,Brewsters Brewing - Crowfoot,-114.203976,51.128052
176-755 Lake Bonavista Drive SE,Calgary,CAN,AB,Brewsters Brewing - Lake Bonavista,-114.046424,50.942907
15820 87th Ave,Edmonton,CAN,AB,Brewsters Brewing - Meadowlark,-113.59449,53.519476
11620 104th Ave,Edmonton,CAN,AB,Brewsters Brewing - Oliver Square,-113.521902,53.54625
1129 Olympic Way SE,Calgary,CAN,AB,Vagabond Beer Works,-114.053948,51.04127
110-1915 - 27 Avenue NE,Calgary,CAN,AB,Mountain Crest Brewing Co,-114.014149,51.076477
110 Banff Ave,Banff,CAN,AB,Banff Ave. Brewing Company,-115.570842,51.174932
10229-105 St,Edmonton,CAN,AB,Yellowhead Brewery,-113.500962,53.543527
101 Barclay Parade SW,Calgary,CAN,AB,Brewsters Brewing - Eau Claire Market,-114.068674,51.053379
#2 - 4580 Quesnay Wood Dr SW,Calgary,CAN,AB,Wild Rose Brewery,-114.123583,51.018068
#11 1826 25th Avenue NE,Calgary,CAN,AB,The Dandy Brewing Company,-114.015341,51.075107
6610 71st Street,Red Deer,CAN,AB,Drummond Brewing Company,-113.844016,52.295938
252 Alpina Way,Girdwood,USA,AK,Bald Brothers Brewing,-149.16639,60.9425
Mile 248.4 George Parks Highway,Healy,USA,AK,49th State Brewery,-149.01665,63.86386
Mile 2 Klondike Highway,Skagway,USA,AK,Gold Rush Brewery,-135.2982,59.4724
884 Mizzen Lane,Ketchikan,USA,AK,Baleen Brewing,-131.81759,55.47237
8111 Dimond Hook Dr,Anchorage,USA,AK,Midnight Sun Brewing Co.,-149.84434,61.14727
7th and Broadway,Skagway,USA,AK,Skagway Brewing,-135.30723,59.45947
7924 King St,Anchorage,USA,AK,King Street Brewing Co,-149.87859,61.14906
735 West Fifth Avenue #110,Anchorage,USA,AK,Glacier Brewhouse,-149.89625,61.21757
717 West Third Avenue,Anchorage,USA,AK,Sleeping Lady Brewing,-149.89587,61.21954
717 West Third Ave,Anchorage,USA,AK,Anchorage Brewing,-149.89645,61.21955
650 East Steel Loop,Palmer,USA,AK,Arkose Brewing,-149.10588,61.58173
5429 Shaune Dr,Juneau,USA,AK,Alaskan Brewing,-134.48917,58.35695
47160 Spruce Haven ST,Kenai,USA,AK,Kassik's Kenai Brew Stop,-151.30604,60.66394
434 Sharkathmai Ave,Soldotna,USA,AK,Saint Elias Brewing Company,-151.05833,60.48778
3024 Mountain View Dr,Anchorage,USA,AK,Resolution Brewing,-149.82259,61.21961
241 North Aspen Dr #100,Soldotna,USA,AK,Kenai River Brewing,-151.06939,60.49352
238 N. Boundary St,Wasilla,USA,AK,Last Frontier Brewing,-149.43941,61.58136
2195 Old Steese Highway North,Fox,USA,AK,Silver Gulch Brewing & Bottling,-147.62716,64.95457
215 Smith St,Sitka,USA,AK,Baranof Island Brewing Co,-135.30783,57.04993
2021 Spar Ave,Anchorage,USA,AK,Broken Tooth Brewing,-149.84276,61.22295
1951 Fox Ave,Fairbanks,USA,AK,HooDoo Brewing,-147.75935,64.84856
1411 Lake Shore Drive,Homer,USA,AK,Homer Brewing,-151.50851,59.63913
139 Fourth Ave,Seward,USA,AK,Seward Brewing,-149.44049,60.10111
117 Lower Mill Bay Rd,Kodiak,USA,AK,Kodiak Island Brewing,-152.40704,57.79054
111 Hanagita Dr,Valdez,USA,AK,Growler Bay Brewing,-146.35103,61.13699
108 Whitefang Way,Haines,USA,AK,Haines Brewing,-135.46116,59.23208
13605 Main St,Talkeetna,USA,AK,Denali Brewing Company,-150.11412,62.32338
166 South Royal St,Mobile,USA,AL,Serda Brewing,-88.03988,30.68799
Birmingham AL,Plan,USA,AL,Hubcap Brewery and Kitchen,-86.8471,33.4131
914 Nichols Ave,Fairhope,USA,AL,Fairhope Brewing,-87.88494,30.51614
8896 McClellan Blvd,Anniston,USA,AL,Patriot Joe's Ales,-85.7778,33.75948
801 Franklin St,Huntsville,USA,AL,Huntsville Brewery,-86.57823,34.72277
704 North Railroad Ave,Opelika,USA,AL,Red Clay Brewing Co,-85.378762,32.649274
607 14th St,Tuscaloosa,USA,AL,Druid City Brewing,-87.543965,33.20004
526 East College St,Florence,USA,AL,Singin' River Brewing,-87.66978,34.80164
505 13th Street,Phenix City,USA,AL,Chattahoochee Brewing,-85.010722,32.44579
500-A Lanier Rd,Madison,USA,AL,Blue Pants Brewery,-86.73821,34.68589
4411-A Evangel Circle NW,Huntsville,USA,AL,Salty Nut Brewery,-86.63965,34.73661
3200 Leeman Ferry Road,Huntsville,USA,AL,Straight to Ale,-86.59359,34.69482
3200 Leeman Ferry Rd,Huntsville,USA,AL,Olde Towne Brewing,-86.59201,34.69238
318 South Royal Ave,Florence,USA,AL,Bluewater Brewing Co,-87.65957,34.80437
289 Production Ave,Madison,USA,AL,Rocket Republic Brewing Co,-86.77401,34.67277
2721 Fifth Ave South,Birmingham,USA,AL,Trim Tab Brewing,-86.7915,33.51287
2616 Third Ave South,Birmingham,USA,AL,Cahaba Brewing,-86.79376,33.51456
2406 Clinton Avenue West,Huntsville,USA,AL,Yellowhammer Brewery,-86.6037,34.72253
225 Dauphin St,Mobile,USA,AL,Hurricane Brewing Company,-88.0434,30.69135
